valid_time,latitude,longitude,ssrd,number,expver,irradiance_kwh_m2_day,daily_gen_kwh,days_in_month,monthly_gen_kwh
2005-01-01,23.0,72.6,17145704.0,0,1,4.762695555555555,11.430469333333333,31,354.3445493333333
2005-02-01,23.0,72.6,20543984.0,0,1,5.7066622222222225,13.695989333333337,28,383.48770133333346
2005-03-01,23.0,72.6,23844896.0,0,1,6.623582222222222,15.896597333333332,31,492.7945173333333
2005-04-01,23.0,72.6,26904104.0,0,1,7.473362222222222,17.936069333333332,30,538.08208
2005-05-01,23.0,72.6,27018098.0,0,1,7.505027222222222,18.012065333333336,31,558.3740253333334
2005-06-01,23.0,72.6,21223804.0,0,1,5.895501111111111,14.149202666666667,30,424.47608
2005-07-01,23.0,72.6,14231398.0,0,1,3.953166111111111,9.487598666666667,31,294.1155586666667
2005-08-01,23.0,72.6,14280828.0,0,1,3.9668966666666665,9.520552,31,295.137112
2005-09-01,23.0,72.6,14823533.0,0,1,4.117648055555556,9.882355333333335,30,296.47066000000007
2005-10-01,23.0,72.6,20571492.0,0,1,5.7143033333333335,13.714328000000002,31,425.14416800000004
2005-11-01,23.0,72.6,17876344.0,0,1,4.965651111111111,11.917562666666667,30,357.52688
2005-12-01,23.0,72.6,16750648.0,0,1,4.652957777777778,11.167098666666668,31,346.1800586666667
2006-01-01,23.0,72.6,17852992.0,0,1,4.959164444444444,11.901994666666667,31,368.9618346666667
2006-02-01,23.0,72.6,20537870.0,0,1,5.704963888888889,13.691913333333332,28,383.3735733333333
2006-03-01,23.0,72.6,23706880.0,0,1,6.585244444444444,15.804586666666665,31,489.94218666666666
2006-04-01,23.0,72.6,26252142.0,0,1,7.292261666666667,17.501428,30,525.0428400000001
2006-05-01,23.0,72.6,26184850.0,0,1,7.273569444444444,17.456566666666667,31,541.1535666666667
2006-06-01,23.0,72.6,21623968.0,0,1,6.006657777777778,14.415978666666668,30,432.47936000000004
2006-07-01,23.0,72.6,11789410.0,0,1,3.274836111111111,7.859606666666668,31,243.6478066666667
2006-08-01,23.0,72.6,10033804.0,0,1,2.787167777777778,6.689202666666667,31,207.36528266666667
2006-09-01,23.0,72.6,17039064.0,0,1,4.7330733333333335,11.359376000000001,30,340.78128000000004
2006-10-01,23.0,72.6,20101370.0,0,1,5.583713888888889,13.400913333333335,31,415.4283133333334
